sp,taxo,group_kernels,group_detection,group_atlas
Muscovy Duck,347.5,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Muscovy Duck (Domestic type),348,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Ringed Teal,356,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Wood Duck,357,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Mandarin Duck,360,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Gadwall,377,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Gadwall,378,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Falcated Duck,383,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Eurasian Wigeon,384,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
American Wigeon,386,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Gadwall x American Wigeon (hybrid),386.3,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Eurasian x American Wigeon (hybrid),386.5,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Eurasian/American Wigeon,388.7,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Chiloe Wigeon,389,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
American Black Duck,390,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Mallard,396,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Mallard,397,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Mallard,400,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Mallard (Domestic type),402,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Muscovy Duck x Mallard (hybrid),402.1,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Gadwall x Mallard (hybrid),402.4,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
American Wigeon x Mallard (hybrid),402.8,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
American Black Duck x Mallard (hybrid),402.9,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
American Black Duck/Mallard,403,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Mottled Duck,409,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Mallard x Mottled Duck (hybrid),411.5,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Blue-winged Teal,423,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Cinnamon Teal,426,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Blue-winged x Cinnamon Teal (hybrid),432,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Blue-winged/Cinnamon Teal,433,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Northern Shoveler,439,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Mallard x Northern Shoveler (hybrid),439.4,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Blue-winged Teal x Northern Shoveler (hybrid),439.6,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Cinnamon Teal x Northern Shoveler (hybrid),439.8,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
White-cheeked Pintail,440,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Northern Pintail,446,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Gadwall x Northern Pintail (hybrid),446.3,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
American Wigeon x Northern Pintail (hybrid),446.6,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Mallard x Northern Pintail (hybrid),446.8,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Garganey,460,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Baikal Teal,461,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Green-winged Teal,462,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Green-winged Teal,463,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Green-winged Teal,467,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Green-winged Teal,467.5,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
American Wigeon x Green-winged Teal (hybrid),467.6,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Cinnamon x Green-winged Teal (hybrid),467.93,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Northern Pintail x Green-winged Teal (hybrid),467.95,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
teal sp.,486,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
dabbling duck sp.,487,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Marbled Teal,489,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Red-crested Pochard,491,waterfowl_diving,Waterfowl,Diving Waterfowl
Canvasback,496,waterfowl_diving,Waterfowl,Diving Waterfowl
Redhead,497,waterfowl_diving,Waterfowl,Diving Waterfowl
Canvasback x Redhead (hybrid),497.3,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Pochard,498,waterfowl_diving,Waterfowl,Diving Waterfowl
Ring-necked Duck,499,waterfowl_diving,Waterfowl,Diving Waterfowl
Redhead x Ring-necked Duck (hybrid),500,waterfowl_diving,Waterfowl,Diving Waterfowl
Tufted Duck,506,waterfowl_diving,Waterfowl,Diving Waterfowl
Ring-necked x Tufted Duck (hybrid),506.5,waterfowl_diving,Waterfowl,Diving Waterfowl
Greater Scaup,508,waterfowl_diving,Waterfowl,Diving Waterfowl
Redhead x Greater Scaup (hybrid),510.3,waterfowl_diving,Waterfowl,Diving Waterfowl
Ring-necked Duck x Greater Scaup (hybrid),510.4,waterfowl_diving,Waterfowl,Diving Waterfowl
Tufted Duck x Greater Scaup (hybrid),510.5,waterfowl_diving,Waterfowl,Diving Waterfowl
Lesser Scaup,511,waterfowl_diving,Waterfowl,Diving Waterfowl
Redhead x Lesser Scaup (hybrid),511.2,waterfowl_diving,Waterfowl,Diving Waterfowl
Ring-necked Duck x Lesser Scaup (hybrid),511.3,waterfowl_diving,Waterfowl,Diving Waterfowl
Tufted Duck x Lesser Scaup (hybrid),511.6,waterfowl_diving,Waterfowl,Diving Waterfowl
Greater/Lesser Scaup,512,waterfowl_diving,Waterfowl,Diving Waterfowl
Redhead x scaup sp. (hybrid),512.2,waterfowl_diving,Waterfowl,Diving Waterfowl
Ring-necked Duck x scaup sp. (hybrid),512.3,waterfowl_diving,Waterfowl,Diving Waterfowl
Tufted Duck x scaup sp. (hybrid),512.5,waterfowl_diving,Waterfowl,Diving Waterfowl
Aythya sp.,513,waterfowl_diving,Waterfowl,Diving Waterfowl
Steller's Eider,514,waterfowl_diving,Waterfowl,Diving Waterfowl
Spectacled Eider,515,waterfowl_diving,Waterfowl,Diving Waterfowl
King Eider,516,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Eider,517,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Eider,520,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Eider,521,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Eider,522,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Eider,523,waterfowl_diving,Waterfowl,Diving Waterfowl
King/Common Eider,524,waterfowl_diving,Waterfowl,Diving Waterfowl
King x Common Eider (hybrid),524.5,waterfowl_diving,Waterfowl,Diving Waterfowl
eider sp.,525,waterfowl_diving,Waterfowl,Diving Waterfowl
Harlequin Duck,526,waterfowl_diving,Waterfowl,Diving Waterfowl
Surf Scoter,530,waterfowl_diving,Waterfowl,Diving Waterfowl
White-winged Scoter,531,waterfowl_diving,Waterfowl,Diving Waterfowl
White-winged Scoter,534,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Scoter,536,waterfowl_diving,Waterfowl,Diving Waterfowl
Black Scoter,537,waterfowl_diving,Waterfowl,Diving Waterfowl
Common/Black Scoter,537.5,waterfowl_diving,Waterfowl,Diving Waterfowl
Surf/Black Scoter,538,waterfowl_diving,Waterfowl,Diving Waterfowl
scoter sp.,539,waterfowl_diving,Waterfowl,Diving Waterfowl
Long-tailed Duck,540,waterfowl_diving,Waterfowl,Diving Waterfowl
Bufflehead,541,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Goldeneye,543,waterfowl_diving,Waterfowl,Diving Waterfowl
Bufflehead x Common Goldeneye (hybrid),546,waterfowl_diving,Waterfowl,Diving Waterfowl
Barrow's Goldeneye,548,waterfowl_diving,Waterfowl,Diving Waterfowl
Common x Barrow's Goldeneye (hybrid),549,waterfowl_diving,Waterfowl,Diving Waterfowl
Common/Barrow's Goldeneye,551,waterfowl_diving,Waterfowl,Diving Waterfowl
Smew,552,waterfowl_diving,Waterfowl,Diving Waterfowl
Hooded Merganser,553,waterfowl_diving,Waterfowl,Diving Waterfowl
Bufflehead x Hooded Merganser (hybrid),553.4,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Goldeneye x Hooded Merganser (hybrid),553.6,waterfowl_diving,Waterfowl,Diving Waterfowl
goldeneye sp. x Hooded Merganser (hybrid),553.9,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Merganser,555,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Merganser,556,waterfowl_diving,Waterfowl,Diving Waterfowl
Common Merganser,559,waterfowl_diving,Waterfowl,Diving Waterfowl
Red-breasted Merganser,561,waterfowl_diving,Waterfowl,Diving Waterfowl
Common/Red-breasted Merganser,562,waterfowl_diving,Waterfowl,Diving Waterfowl
merganser sp.,564,waterfowl_diving,Waterfowl,Diving Waterfowl
Ruddy Duck,567,waterfowl_diving,Waterfowl,Diving Waterfowl
Ruddy Duck,568,waterfowl_diving,Waterfowl,Diving Waterfowl
duck sp.,578,,,
waterfowl sp.,579,,,
Helmeted Guineafowl,737,,,
Helmeted Guineafowl (Domestic type),738.9,,,
Mountain Quail,768,,,
California Quail,786,,,
Northern Bobwhite,805,,,
Northern Bobwhite,806,,,
Indian Peafowl,1008,,,
Indian Peafowl (Domestic type),1011,,,
Bronze-tailed Peacock-Pheasant,1042,,,
Japanese Quail,1051,,,
Rock Partridge,1063,,,
Chukar,1066,,,
Red-legged Partridge,1069,,,
Red Junglefowl (Domestic type),1200.2,,,
Golden Pheasant,1318,,,
Lady Amherst's Pheasant,1318.5,,,
Ring-necked Pheasant,1323,,,
