sp,taxo,group_kernels,group_detection,group_atlas
King/Clapper Rail,3399,shorebirds_waders,,
Virginia Rail,3401,shorebirds_waders,,
Virginia Rail,3401.5,shorebirds_waders,,
Rallus sp.,3417,shorebirds_waders,,
Sora,3495,shorebirds_waders,,
rail/crake sp.,3551,shorebirds_waders,,
Purple Gallinule,3554,waterfowl_dabbling,,
Common Gallinule,3583.5,waterfowl_dabbling,,
Common Gallinule,3584,waterfowl_dabbling,,
Eurasian Moorhen/Common Gallinule,3591.5,waterfowl_dabbling,,
American Coot,3614.5,waterfowl_dabbling,,
American Coot,3615,waterfowl_dabbling,,
coot sp.,3623,waterfowl_dabbling,,
gallinule/moorhen/coot sp.,3624,waterfowl_dabbling,,
Sandhill Crane,3717,shorebirds_waders,,
Sandhill Crane,3718,shorebirds_waders,,
Sandhill Crane,3718.5,shorebirds_waders,,
Common Crane,3730,shorebirds_waders,,
Sandhill x Common Crane (hybrid),3730.5,shorebirds_waders,,
Whooping Crane,3732,shorebirds_waders,,
Black-winged Stilt,3769,shorebirds_waders,,
Black-necked Stilt,3773,shorebirds_waders,,
Black-necked Stilt,3774,shorebirds_waders,,
American Avocet,3782,shorebirds_waders,,
Eurasian Oystercatcher,3785,shorebirds_waders,,
American Oystercatcher,3796,shorebirds_waders,,
Black Oystercatcher,3803,shorebirds_waders,,
Black-bellied Plover,3805.1,shorebirds_waders,,
European Golden-Plover,3805.2,shorebirds_waders,,
American Golden-Plover,3805.5,shorebirds_waders,,
Pacific Golden-Plover,3805.6,shorebirds_waders,,
American/Pacific Golden-Plover (Lesser Golden-Plover),3805.7,shorebirds_waders,,
golden-plover sp.,3805.8,shorebirds_waders,,
Black-bellied Plover/golden-plover sp.,3805.9,shorebirds_waders,,
Northern Lapwing,3807,shorebirds_waders,,
Lesser Sand-Plover,3861,shorebirds_waders,,
Lesser Sand-Plover,3866,shorebirds_waders,,
Snowy Plover,3887,shorebirds_waders,,
Snowy Plover,3888,shorebirds_waders,,
Wilson's Plover,3892,shorebirds_waders,,
Common Ringed Plover,3896,shorebirds_waders,,
Semipalmated Plover,3899,shorebirds_waders,,
Common Ringed/Semipalmated Plover,3899.2,shorebirds_waders,,
Piping Plover,3901,shorebirds_waders,,
Killdeer,3921,shorebirds_waders,,
Mountain Plover,3924.5,shorebirds_waders,,
Eurasian Dotterel,3926,shorebirds_waders,,
small plover sp.,3930,shorebirds_waders,,
plover sp.,3938,shorebirds_waders,,
Northern Jacana,3949,shorebirds_waders,,
Upland Sandpiper,3991,shorebirds_waders,,
Little Curlew,3992,shorebirds_waders,,
Eskimo Curlew,3993,shorebirds_waders,,
Whimbrel,3994,shorebirds_waders,,
Whimbrel,3995,shorebirds_waders,,
Whimbrel,3999,shorebirds_waders,,
Bristle-thighed Curlew,4000,shorebirds_waders,,
Far Eastern Curlew,4001,shorebirds_waders,,
Slender-billed Curlew,4002,shorebirds_waders,,
Eurasian Curlew,4003,shorebirds_waders,,
Whimbrel/Eurasian Curlew,4005.5,shorebirds_waders,,
Long-billed Curlew,4006,shorebirds_waders,,
Black-tailed Godwit,4010,shorebirds_waders,,
Black-tailed Godwit,4011,shorebirds_waders,,
Black-tailed Godwit,4012,shorebirds_waders,,
Hudsonian Godwit,4014,shorebirds_waders,,
Bar-tailed Godwit,4015,shorebirds_waders,,
Bar-tailed Godwit,4016,shorebirds_waders,,
Bar-tailed Godwit,4018,shorebirds_waders,,
Marbled Godwit,4019,shorebirds_waders,,
godwit sp.,4022,shorebirds_waders,,
Ruddy Turnstone,4023,shorebirds_waders,,
Black Turnstone,4026,shorebirds_waders,,
Red Knot,4029,shorebirds_waders,,
Surfbird,4035.2,shorebirds_waders,,
Ruff,4036,shorebirds_waders,,
Broad-billed Sandpiper,4037,shorebirds_waders,,
Sharp-tailed Sandpiper,4052,shorebirds_waders,,
Stilt Sandpiper,4053,shorebirds_waders,,
Curlew Sandpiper,4054,shorebirds_waders,,
Temminck's Stint,4055,shorebirds_waders,,
Spoon-billed Sandpiper,4057,shorebirds_waders,,
Red-necked Stint,4058,shorebirds_waders,,
Sanderling,4059,shorebirds_waders,,
Dunlin,4060,shorebirds_waders,,
Dunlin,4061,shorebirds_waders,,
Dunlin,4064,shorebirds_waders,,
Dunlin,4065,shorebirds_waders,,
Dunlin,4066,shorebirds_waders,,
Rock Sandpiper,4071,shorebirds_waders,,
Rock Sandpiper,4071.2,shorebirds_waders,,
Purple Sandpiper,4072,shorebirds_waders,,
Baird's Sandpiper,4073,shorebirds_waders,,
Little Stint,4074,shorebirds_waders,,
Least Sandpiper,4076,shorebirds_waders,,
White-rumped Sandpiper,4077,shorebirds_waders,,
Dunlin x White-rumped Sandpiper (hybrid),4077.1,shorebirds_waders,,
Buff-breasted Sandpiper,4078,shorebirds_waders,,
White-rumped x Buff-breasted Sandpiper (hybrid),4078.01,shorebirds_waders,,
Pectoral Sandpiper,4078.02,shorebirds_waders,,
Sharp-tailed/Pectoral Sandpiper,4078.03,shorebirds_waders,,
Semipalmated Sandpiper,4078.05,shorebirds_waders,,
Western Sandpiper,4078.06,shorebirds_waders,,
Semipalmated/Western Sandpiper,4078.07,shorebirds_waders,,
peep sp.,4078.08,shorebirds_waders,,
Calidris sp.,4078.09,shorebirds_waders,,
Short-billed Dowitcher,4080,shorebirds_waders,,
Short-billed Dowitcher,4081,shorebirds_waders,,
Short-billed Dowitcher,4082,shorebirds_waders,,
Short-billed Dowitcher,4083,shorebirds_waders,,
Long-billed Dowitcher,4084,shorebirds_waders,,
Short-billed/Long-billed Dowitcher,4085,shorebirds_waders,,
Jack Snipe,4096,shorebirds_waders,,
Wilson's Snipe,4103,shorebirds_waders,,
Common Snipe,4104,shorebirds_waders,,
Wilson's/Common Snipe,4107,shorebirds_waders,,
snipe sp.,4126,shorebirds_waders,,
American Woodcock,4135,shorebirds_waders,,
Terek Sandpiper,4135.5,shorebirds_waders,,
Wilson's Phalarope,4136,shorebirds_waders,Phalaropes,Phalaropes
Red-necked Phalarope,4137,shorebirds_waders,Phalaropes,Phalaropes
Red Phalarope,4138,shorebirds_waders,Phalaropes,Phalaropes
Red-necked/Red Phalarope,4138.5,shorebirds_waders,Phalaropes,Phalaropes
phalarope sp.,4139,shorebirds_waders,Phalaropes,Phalaropes
Spotted Sandpiper,4139.02,shorebirds_waders,,
Common/Spotted Sandpiper,4139.03,shorebirds_waders,,
Solitary Sandpiper,4139.05,shorebirds_waders,,
Solitary Sandpiper,4139.06,shorebirds_waders,,
Solitary Sandpiper,4139.07,shorebirds_waders,,
Wandering Tattler,4139.09,shorebirds_waders,,
Spotted Redshank,4139.11,shorebirds_waders,,
Greater Yellowlegs,4139.12,shorebirds_waders,,
Common Greenshank,4139.13,shorebirds_waders,,
Willet,4139.16,shorebirds_waders,,
Willet,4139.17,shorebirds_waders,,
Willet,4139.18,shorebirds_waders,,
Lesser Yellowlegs,4139.19,shorebirds_waders,,
Greater/Lesser Yellowlegs,4139.2,shorebirds_waders,,
Wood Sandpiper,4139.22,shorebirds_waders,,
Common Redshank,4139.23,shorebirds_waders,,
Tringa sp.,4139.24,shorebirds_waders,,
Scolopacidae sp.,4139.3,shorebirds_waders,,
large shorebird sp.,4139.6,shorebirds_waders,,
shorebird sp.,4262,shorebirds_waders,,
Great Skua,4262.01,seabirds_larids,Jaegers,Skuas
South Polar Skua,4262.03,seabirds_larids,Jaegers,Skuas
skua sp.,4262.08,seabirds_larids,Jaegers,Skuas
Pomarine Jaeger,4262.09,seabirds_larids,Jaegers,Jaegers
Parasitic Jaeger,4262.1,seabirds_larids,Jaegers,Jaegers
Pomarine/Parasitic Jaeger,4262.11,seabirds_larids,Jaegers,Jaegers
Long-tailed Jaeger,4262.12,seabirds_larids,Jaegers,Jaegers
Parasitic/Long-tailed Jaeger,4262.16,seabirds_larids,Jaegers,Jaegers
jaeger sp.,4262.17,seabirds_larids,Jaegers,Jaegers
jaeger/skua sp.,4262.18,seabirds_larids,Jaegers,Jaegers
Dovekie,4262.19,seabirds_alcids,Dovekie,Alcids
Common Murre,4262.22,seabirds_alcids,Alcids,Alcids
Thick-billed Murre,4262.27,seabirds_alcids,Alcids,Alcids
Common/Thick-billed Murre,4262.32,seabirds_alcids,Alcids,Alcids
Razorbill,4262.33,seabirds_alcids,Alcids,Alcids
large alcid sp.,4262.36,seabirds_alcids,Alcids,Alcids
Black Guillemot,4262.38,seabirds_alcids,Alcids,Alcids
Black Guillemot,4262.395,seabirds_alcids,Alcids,Alcids
Pigeon Guillemot,4262.44,seabirds_alcids,Alcids,Alcids
Pigeon Guillemot,4262.46,seabirds_alcids,Alcids,Alcids
Long-billed Murrelet,4262.53,seabirds_alcids,Alcids,Alcids
Marbled Murrelet,4262.54,seabirds_alcids,Alcids,Alcids
Kittlitz's Murrelet,4262.55,seabirds_alcids,Alcids,Alcids
Scripps's Murrelet,4262.56,seabirds_alcids,Alcids,Alcids
Scripps's/Guadalupe Murrelet (Xantus's Murrelet),4262.58,seabirds_alcids,Alcids,Alcids
Ancient Murrelet,4262.61,seabirds_alcids,Alcids,Alcids
murrelet sp.,4262.65,seabirds_alcids,Alcids,Alcids
Cassin's Auklet,4262.66,seabirds_alcids,Alcids,Alcids
Parakeet Auklet,4262.69,seabirds_alcids,Alcids,Alcids
Crested Auklet,4262.72,seabirds_alcids,Alcids,Alcids
Rhinoceros Auklet,4262.73,seabirds_alcids,Alcids,Alcids
auklet sp.,4262.74,seabirds_alcids,Alcids,Alcids
Atlantic Puffin,4262.75,seabirds_alcids,Alcids,Alcids
Horned Puffin,4262.79,seabirds_alcids,Alcids,Alcids
Tufted Puffin,4262.8,seabirds_alcids,Alcids,Alcids
alcid sp.,4262.82,seabirds_alcids,Alcids,Alcids
Black-legged Kittiwake,4264,seabirds_larids,Gulls,Gulls
Black-legged Kittiwake,4265,seabirds_larids,Gulls,Gulls
Red-legged Kittiwake,4267,seabirds_larids,Gulls,Gulls
Ivory Gull,4268,seabirds_larids,Gulls,Gulls
Sabine's Gull,4269,seabirds_larids,Gulls,Gulls
Bonaparte's Gull,4276,seabirds_larids,Gulls,Gulls
Red-billed Gull,4280,seabirds_larids,Gulls,Gulls
Black-headed Gull,4288,seabirds_larids,Gulls,Gulls
Little Gull,4291,seabirds_larids,Gulls,Gulls
Ross's Gull,4292,seabirds_larids,Gulls,Gulls
Laughing Gull,4295,seabirds_larids,Gulls,Gulls
Franklin's Gull,4299,seabirds_larids,Gulls,Gulls
Laughing/Franklin's Gull,4299.5,seabirds_larids,Gulls,Gulls
Black-tailed Gull,4309,seabirds_larids,Gulls,Gulls
Heermann's Gull,4313,seabirds_larids,Gulls,Gulls
Mew Gull,4314,seabirds_larids,Gulls,Gulls
Mew Gull,4315,seabirds_larids,Gulls,Gulls
Mew Gull,4316,seabirds_larids,Gulls,Gulls
Mew Gull,4317,seabirds_larids,Gulls,Gulls
Mew Gull,4318,seabirds_larids,Gulls,Gulls
Ring-billed Gull,4319,seabirds_larids,Gulls,Gulls
Black-headed x Ring-billed Gull (hybrid),4319.3,seabirds_larids,Gulls,Gulls
Western Gull,4320,seabirds_larids,Gulls,Gulls
California Gull,4325,seabirds_larids,Gulls,Gulls
California Gull,4326,seabirds_larids,Gulls,Gulls
California Gull,4327,seabirds_larids,Gulls,Gulls
Herring Gull,4328,seabirds_larids,Gulls,Gulls
Herring Gull,4329,seabirds_larids,Gulls,Gulls
Herring Gull,4330,seabirds_larids,Gulls,Gulls
Herring Gull,4331,seabirds_larids,Gulls,Gulls
California x Herring Gull (hybrid),4331.4,seabirds_larids,Gulls,Gulls
Yellow-legged Gull,4341,seabirds_larids,Gulls,Gulls
Yellow-legged Gull,4342,seabirds_larids,Gulls,Gulls
Thayer's Gull,4349,seabirds_larids,Gulls,Gulls
Herring/Thayer's Gull,4350.5,seabirds_larids,Gulls,Gulls
Iceland Gull,4351,seabirds_larids,Gulls,Gulls
Iceland Gull,4352,seabirds_larids,Gulls,Gulls
Iceland Gull,4353,seabirds_larids,Gulls,Gulls
Thayer's x Iceland Gull (hybrid),4353.5,seabirds_larids,Gulls,Gulls
Thayer's/Iceland Gull,4354,seabirds_larids,Gulls,Gulls
Lesser Black-backed Gull,4355,seabirds_larids,Gulls,Gulls
Lesser Black-backed Gull,4356,seabirds_larids,Gulls,Gulls
Lesser Black-backed Gull,4358,seabirds_larids,Gulls,Gulls
Herring x Lesser Black-backed Gull (hybrid),4359.7,seabirds_larids,Gulls,Gulls
Herring/Lesser Black-backed Gull,4359.8,seabirds_larids,Gulls,Gulls
Slaty-backed Gull,4360,seabirds_larids,Gulls,Gulls
Glaucous-winged Gull,4363,seabirds_larids,Gulls,Gulls
Western x Glaucous-winged Gull (hybrid),4363.3,seabirds_larids,Gulls,Gulls
Herring x Glaucous-winged Gull (hybrid),4363.6,seabirds_larids,Gulls,Gulls
Slaty-backed x Glaucous-winged Gull (hybrid),4363.8,seabirds_larids,Gulls,Gulls
Western/Glaucous-winged Gull,4364,seabirds_larids,Gulls,Gulls
Glaucous Gull,4365,seabirds_larids,Gulls,Gulls
Herring x Glaucous Gull (hybrid),4369.3,seabirds_larids,Gulls,Gulls
Glaucous-winged x Glaucous Gull (hybrid),4369.8,seabirds_larids,Gulls,Gulls
white-winged gull sp.,4369.9,seabirds_larids,Gulls,Gulls
Great Black-backed Gull,4371,seabirds_larids,Gulls,Gulls
Herring x Great Black-backed Gull (hybrid),4371.3,seabirds_larids,Gulls,Gulls
Glaucous x Great Black-backed Gull (hybrid),4371.6,seabirds_larids,Gulls,Gulls
Larus sp.,4378,seabirds_larids,Gulls,Gulls
gull sp.,4379,seabirds_larids,Gulls,Gulls
Sooty Tern,4414,seabirds_larids,Terns,Terns
Least Tern,4440,seabirds_larids,Terns,Terns
Gull-billed Tern,4456,seabirds_larids,Terns,Terns
Caspian Tern,4463,seabirds_larids,Terns,Terns
Black Tern,4465,seabirds_larids,Terns,Terns
Black Tern,4467,seabirds_larids,Terns,Terns
White-winged Tern,4468,seabirds_larids,Terns,Terns
Roseate Tern,4479,seabirds_larids,Terns,Terns
Common Tern,4492,seabirds_larids,Terns,Terns
Common Tern,4493,seabirds_larids,Terns,Terns
Arctic Tern,4497,seabirds_larids,Terns,Terns
Common/Arctic Tern,4498,seabirds_larids,Terns,Terns
Forster's Tern,4508,seabirds_larids,Terns,Terns
Common/Forster's Tern,4508.5,seabirds_larids,Terns,Terns
Sterna sp.,4514,seabirds_larids,Terns,Terns
Royal Tern,4515,seabirds_larids,Terns,Terns
Royal Tern,4517,seabirds_larids,Terns,Terns
Sandwich Tern,4525,seabirds_larids,Terns,Terns
Sandwich Tern,4526,seabirds_larids,Terns,Terns
Sandwich Tern,4527,seabirds_larids,Terns,Terns
Elegant Tern,4530,seabirds_larids,Terns,Terns
large tern sp.,4537,seabirds_larids,Terns,Terns
tern sp.,4538,seabirds_larids,Terns,Terns
Black Skimmer,4539,seabirds_larids,Terns,Terns
Black Skimmer,4540,seabirds_larids,Terns,Terns
gull/tern sp.,4544.5,seabirds_larids,,
Rock Pigeon,4673,,,
Rock Pigeon,4673.5,,,
Rock Pigeon,4686.5,,,
Columba sp.,4752,,,
Band-tailed Pigeon,4778,,,
Band-tailed Pigeon,4779,,,
Passenger Pigeon,4809.5,,,
Oriental Turtle-Dove,4818,,,
Eurasian Collared-Dove,4828,,,
African Collared-Dove,4831,,,
African Collared-Dove (Domestic type or Ringed Turtle-Dove),4833.5,,,
Eurasian/African Collared-Dove,4833.9,,,
Ring-necked Dove,4843,,,
Streptopelia sp.,4870,,,
Inca Dove,4990.015,,,
Common Ground-Dove,4990.02,,,
Ruddy Ground-Dove,4990.14,,,
White-winged Dove,4992,,,
Mourning Dove,5015,,,
Mourning Dove,5017,,,
pigeon/dove sp.,5596,,,
Gray Go-away-bird,6585,,,
Groove-billed Ani,6600,,,
Yellow-billed Cuckoo,6907,,,
Black-billed Cuckoo,6911,,,
Yellow-billed/Black-billed Cuckoo,6912,,,
Coccyzus sp.,6925,,,
Common Cuckoo,6942.2,,,
cuckoo sp. (Cuculidae sp.),6952.2,,,
Barn Owl,6982,,,
Barn Owl,7003,,,
Flammulated Owl,7149.5,,,
Western Screech-Owl,7150,,,
Eastern Screech-Owl,7160,,,
Eastern Screech-Owl,7161,,,
Great Horned Owl,7254,,,
Great Horned Owl,7255,,,
Snowy Owl,7314,raptors,,
Bubo sp.,7314.2,,,
Northern Hawk Owl,7334,,,
Northern Hawk Owl,7334.2,,,
Northern Pygmy-Owl,7349,,,
Northern Pygmy-Owl,7351,,,
Northern Pygmy-Owl,7355,,,
Burrowing Owl,7429,,,
Burrowing Owl,7430,,,
Spotted Owl,7521,,,
Spotted Owl,7522,,,
Barred Owl,7526,,,
Barred Owl,7526.5,,,
Great Gray Owl,7547,,,
Great Gray Owl,7548,,,
Long-eared Owl,7555,,,
Long-eared Owl,7555.5,,,
Long-eared Owl,7557.5,,,
Short-eared Owl,7571,raptors,,
Short-eared Owl,7572,raptors,,
Long-eared/Short-eared Owl,7583.5,,,
Asio sp.,7587.5,,,
Boreal Owl,7595,,,
Boreal Owl,7595.5,,,
Boreal Owl,7601,,,
Northern Saw-whet Owl,7602,,,
owl sp.,7695,,,
Lesser Nighthawk,7767,,,
Common Nighthawk,7775,,,
nighthawk sp.,7787,,,
Common Poorwill,7862,,,
Chuck-will's-widow,7867.5,,,
Eastern Whip-poor-will,7912,,,
Eastern/Mexican Whip-poor-will,7919,,,
nightjar sp.,8024,,,
Black Swift,8043,,,
Black Swift,8044,,,
White-collared Swift,8060,,,
Chimney Swift,8096,,,
Vaux's Swift,8097,,,
Vaux's Swift,8098,,,
Chimney/Vaux's Swift,8105,,,
Chaetura sp.,8132,,,
Pacific Swift,8321,,,
White-throated Swift,8345,,,
large swift sp.,8382,,,
swift sp.,8384,,,
Mexican Violetear,8504,,,
Amethyst-throated Hummingbird,8834,,,
Ruby-throated Hummingbird,8896,,,
Black-chinned Hummingbird,8898,,,
Ruby-throated/Black-chinned Hummingbird,8900,,,
Anna's Hummingbird,8906,,,
Costa's Hummingbird,8914,,,
Broad-tailed Hummingbird,8922,,,
Rufous Hummingbird,8924,,,
Anna's x Rufous Hummingbird (hybrid),8924.5,,,
Rufous/Allen's Hummingbird,8932,,,
Calliope Hummingbird,8946,,,
Selasphorus sp.,8948,,,
Broad-billed Hummingbird,8992,,,
Xantus's Hummingbird,9240,,,
hummingbird sp.,9298,,,
Belted Kingfisher,9932,,,
Lewis's Woodpecker,10870,,,
Red-headed Woodpecker,10873,,,
Acorn Woodpecker,10874,,,
Acorn Woodpecker,10875,,,
Red-bellied Woodpecker,10925,,,
Melanerpes sp.,10932,,,
Williamson's Sapsucker,10933,,,
Yellow-bellied Sapsucker,10936,,,
Red-naped Sapsucker,10938,,,
Yellow-bellied x Red-naped Sapsucker (hybrid),10938.5,,,
Yellow-bellied/Red-naped Sapsucker,10939,,,
Red-breasted Sapsucker,10941,,,
Red-naped x Red-breasted Sapsucker (hybrid),10943.5,,,
Red-naped/Red-breasted Sapsucker,10943.7,,,
sapsucker sp.,10944,,,
Downy Woodpecker,11148,,,
Downy Woodpecker,11149,,,
Downy Woodpecker,11152,,,
Downy Woodpecker,11155,,,
Hairy Woodpecker,11164,,,
Hairy Woodpecker,11165,,,
Hairy Woodpecker,11170,,,
Hairy Woodpecker,11174,,,
Downy/Hairy Woodpecker,11179,,,
White-headed Woodpecker,11185,,,
American Three-toed Woodpecker,11194,,,
American Three-toed Woodpecker,11195,,,
American Three-toed Woodpecker,11196,,,
American Three-toed Woodpecker,11197,,,
Black-backed Woodpecker,11198,,,
American Three-toed/Black-backed Woodpecker,11199,,,
Picoides sp.,11200,,,
Northern Flicker,11308,,,
Northern Flicker,11311,,,
Northern Flicker,11315,,,
Northern Flicker,11319.5,,,
Pileated Woodpecker,11396,,,
woodpecker sp.,11579.6,,,
Crested Caracara,11581.24,,,
Eurasian Kestrel,11581.56,,,
Eurasian Kestrel,11581.57,,,
American Kestrel,11581.83,,,
American Kestrel,11581.84,,,
Merlin,11582.15,raptors,,
Merlin,11582.23,raptors,,
Merlin,11582.24,raptors,,
Merlin,11582.25,raptors,,
Gyrfalcon,11582.6,raptors,,
Peregrine Falcon,11582.61,raptors,,
Peregrine Falcon,11582.62,raptors,,
Peregrine Falcon,11582.63,raptors,,
Peregrine Falcon,11582.66,raptors,,
Prairie Falcon,11582.83,,,
large falcon sp.,11582.86,,,
small falcon sp.,11582.87,,,
falcon sp.,11582.88,,,
diurnal raptor sp.,11582.89,,,
Sulphur-crested Cockatoo,11583.44,,,
Cockatiel,11583.52,,,
Cockatiel (Domestic type),11583.525,,,
Rose-ringed Parakeet,11587.47,,,
Red-rumped Parrot,11587.77561,,,
Budgerigar,11587.77581,,,
Budgerigar (Domestic type),11587.77581,,,
Rosy-faced Lovebird,11588.16,,,
Fischer's Lovebird,11588.19,,,
Gray Parrot,11588.33,,,
Monk Parakeet,11588.88,,,
Green-cheeked Parakeet,11590.81,,,
Hyacinth Macaw,11591.45,,,
Blue-and-yellow Macaw,11591.94,,,
Mitred Parakeet,11592.4,,,
parakeet sp.,11592.55,,,
Olive-sided Flycatcher,14516,,,
Western Wood-Pewee,14529,,,
Eastern Wood-Pewee,14534,,,
Western/Eastern Wood-Pewee,14535,,,
pewee sp.,14564,,,
Yellow-bellied Flycatcher,14573,,,
Acadian Flycatcher,14574,,,
Alder Flycatcher,14575,,,
Willow Flycatcher,14576,,,
Willow Flycatcher,14577,,,
Willow Flycatcher,14579,,,
Alder/Willow Flycatcher (Traill's Flycatcher),14583,,,
Least Flycatcher,14588,,,
Hammond's Flycatcher,14589,,,
Gray Flycatcher,14590,,,
Dusky Flycatcher,14591,,,
Hammond's/Dusky Flycatcher,14593,,,
Pacific-slope Flycatcher,14600,,,
Cordilleran Flycatcher,14604,,,
Pacific-slope/Cordilleran Flycatcher (Western Flycatcher),14607,,,
Empidonax sp.,14620,,,
Black Phoebe,14621,,,
Eastern Phoebe,14632,,,
Say's Phoebe,14633,,,
Vermilion Flycatcher,14637,,,
Vermilion Flycatcher,14649,,,
Dusky-capped Flycatcher,14887,,,
Ash-throated Flycatcher,14921,,,
Great Crested Flycatcher,14928,,,
Myiarchus sp.,14953,,,
Sulphur-bellied Flycatcher,15024,,,
Variegated Flycatcher,15029,,,
Tropical Kingbird,15038,,,
Tropical/Couch's Kingbird,15043,,,
Cassin's Kingbird,15045,,,
Thick-billed Kingbird,15048,,,
Western Kingbird,15051,,,
Cassin's/Western Kingbird,15052,,,
Eastern Kingbird,15055,,,
Western x Eastern Kingbird (hybrid),15055.5,,,
Gray Kingbird,15056,,,
Scissor-tailed Flycatcher,15068,,,
Fork-tailed Flycatcher,15069,,,
flycatcher sp. (Tyrannidae sp.),15074,,,
Yellow Chat,15783,,,
Brown Shrike,17640,,,
Loggerhead Shrike,17672,,,
Northern Shrike,17684,,,
Northern Shrike,17691.5,,,
Loggerhead/Northern Shrike,17694,,,
shrike sp.,17735,,,
Black-capped Vireo,17749.993,,,
White-eyed Vireo,17750,,,
White-eyed Vireo,17751,,,
Bell's Vireo,17778,,,
Bell's Vireo,17779,,,
Hutton's Vireo,17786.5,,,
Hutton's Vireo,17787,,,
Yellow-throated Vireo,17788,,,
Cassin's Vireo,17797,,,
Cassin's Vireo,17798,,,
Blue-headed Vireo,17801,,,
Cassin's/Blue-headed Vireo,17804,,,
Plumbeous Vireo,17804.2,,,
solitary vireo sp.,17805,,,
Philadelphia Vireo,17827.8,,,
Warbling Vireo,17828,,,
Warbling Vireo,17829,,,
Warbling Vireo,17830,,,
Philadelphia/Warbling Vireo,17833,,,
Red-eyed Vireo,17850,,,
Red-eyed Vireo,17851,,,
Philadelphia/Red-eyed Vireo,17862.5,,,
Yellow-green Vireo,17864,,,
vireo sp.,17878,,,
Gray Jay,18722,,,
Gray Jay,18723,,,
Gray Jay,18728,,,
Gray Jay,18731,,,
Steller's Jay,18816,,,
Steller's Jay,18820,,,
Steller's Jay,18824,,,
Blue Jay,18831,,,
California Scrub-Jay,18840,,,
jay sp.,18919.5,,,
Black-billed Magpie,19000,,,
Clark's Nutcracker,19007,,,
Eurasian Jackdaw,19032,,,
American Crow,19073,passerines,,
Northwestern Crow,19078,passerines,,
American/Northwestern Crow,19079,passerines,,
Fish Crow,19087,passerines,,
Chihuahuan Raven,19089,passerines,,
Carrion Crow,19090,passerines,,
crow sp.,19119,passerines,,
Common Raven,19134,passerines,,
raven sp.,19143,passerines,,
crow/raven sp.,19143.5,passerines,,
Horned Lark,19870,passerines,,
Horned Lark,19886,passerines,,
Horned Lark,19891,passerines,,
Eurasian Skylark,19916.868,passerines,,
Eurasian Skylark,19916.87,passerines,,
Black-capped Swallow,19934,,,
Northern Rough-winged Swallow,19940,,,
Northern Rough-winged Swallow,19941,,,
Purple Martin,19953,,,
Purple Martin,19954,,,
Tree Swallow,19972,passerines,,
Violet-green Swallow,19981,,,
Tree/Violet-green Swallow,19983.7,,,
Tachycineta sp.,19984.5,,,
Bank Swallow,19996,,,
Barn Swallow,20037,,,
Barn Swallow,20039,,,
Barn Swallow,20043,,,
Barn Swallow,20045,,,
Cliff Swallow,20122,,,
Cliff Swallow,20123,,,
Cave Swallow,20128,,,
Cave Swallow,20129,,,
Cave Swallow,20134,,,
Cliff/Cave Swallow,20136,,,
swallow sp.,20176,,,
Carolina Chickadee,20240,,,
Black-capped Chickadee,20246,,,
Carolina x Black-capped Chickadee (hybrid),20256,,,
Carolina/Black-capped Chickadee,20256.5,,,
Mountain Chickadee,20258,,,
Mountain Chickadee,20259,,,
Mountain Chickadee,20263,,,
Black-capped x Mountain Chickadee (hybrid),20267,,,
Chestnut-backed Chickadee,20275,,,
Boreal Chickadee,20279,,,
Gray-headed Chickadee,20285,,,
chickadee sp.,20290,,,
Eurasian Blue Tit,20429,,,
Tufted Titmouse,20484,,,
Tufted/Black-crested Titmouse,20490,,,
Great Tit,20500.004,,,
Bushtit,20708,,,
Bushtit,20709,,,
Red-breasted Nuthatch,20757,,,
White-breasted Nuthatch,20761,,,
White-breasted Nuthatch,20762,,,
White-breasted Nuthatch,20763,,,
White-breasted Nuthatch,20768,,,
Pygmy Nuthatch,20773,,,
nuthatch sp.,20827,,,
Brown Creeper,20846,,,
Brown Creeper,20847,,,
Brown Creeper,20855,,,
Rock Wren,20884.1,,,
Rock Wren,20884.2,,,
Canyon Wren,20904,,,
House Wren,21138,,,
House Wren,21139,,,
Pacific Wren,21229,,,
Pacific Wren,21239,,,
Winter Wren,21245,,,
Pacific/Winter Wren,21247.1,,,
Sedge Wren,21248,passerines,,
Sedge Wren,21249,passerines,,
Marsh Wren,21276,passerines,,
Marsh Wren,21277,passerines,,
Marsh Wren,21282,passerines,,
Marsh Wren,21286,passerines,,
Carolina Wren,21319,,,
Carolina Wren,21320,,,
Bewick's Wren,21330,,,
Bewick's Wren,21330.2,,,
Bewick's Wren,21331,,,
wren sp.,21374.73,,,
Blue-gray Gnatcatcher,21403,,,
Blue-gray Gnatcatcher,21404,,,
American Dipper,21475,,,
American Dipper,21476,,,
Golden-crowned Kinglet,21932,,,
Ruby-crowned Kinglet,21939,,,
kinglet sp.,21963,,,
Wood Warbler,22015,,,
Bluethroat,23403.0592,,,
Siberian Rubythroat,23403.0645,,,
Red-flanked Bluetail,23403.0662,,,
Northern Wheatear,23403.097,,,
Northern Wheatear,23403.0971,,,
Eastern Bluebird,24482,,,
Eastern Bluebird,24483,,,
Western Bluebird,24491,,,
Mountain Bluebird,24499,,,
Eastern x Mountain Bluebird (hybrid),24499.3,,,
bluebird sp.,24500,,,
Townsend's Solitaire,24501,,,
Veery,24592,,,
Gray-cheeked Thrush,24597,,,
Bicknell's Thrush,24600,,,
